TMU,sectionNB,sectionSB
1012,Coolock Lane to M1,M1 to Coolock Lane
1501,N2 to Ballymun,M1 to Ballymun
1502,N3 to N2,N2 to N3
1503,N7 to N4,N4 to N7
1504,N81 to N7,N7 to N81
1505,Firhouse to N81,N81 to Firhouse
1506,Ballinteer to Firhouse,Firhouse to Ballinteer
1507,Sandyford to Ballinteer,Ballinteer to Sandyford
1508,N4 to N3,N3 to N4
1509,Ballymount to N7,N7 to Ballymount
15010,Carrickmines to Ballinteer,Ballinteer to Carrickmines
15011,Cherrywood to Carrickmines,Carrickmines to Cherrywood
15012,N11 to Cherrywood,Cherrywood to N11
